,start_time,end_time,time,voltage,current,quietValue,quietTime,run_duration,step1_duration,step1_volt,step2_duration,step2_volt,sample_rate,curr_range,out_volt_range,test_name,potentio_id,electrode
0,2018-08-06 12:16:23.984948,2018-08-06 12:16:27.055158,1.0,0.05,0.00685,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
1,2018-08-06 12:16:23.984948,2018-08-06 12:16:27.055158,1.0,0.05,0.00703,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
2,2018-08-06 12:16:23.984948,2018-08-06 12:16:27.055158,1.0,0.05,0.00665,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
0,2018-08-06 12:48:29.399395,2018-08-06 12:48:32.481150,1.0,0.05,0.00403,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,3,
1,2018-08-06 12:48:29.399395,2018-08-06 12:48:32.481150,1.0,0.05,0.00424,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,3,
2,2018-08-06 12:48:29.399395,2018-08-06 12:48:32.481150,1.0,0.05,0.00393,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,3,
0,2018-08-06 12:48:29.404065,2018-08-06 12:48:32.522225,1.0,0.05,0.0071,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,2,
1,2018-08-06 12:48:29.404065,2018-08-06 12:48:32.522225,1.0,0.05,0.00676,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,2,
2,2018-08-06 12:48:29.404065,2018-08-06 12:48:32.522225,1.0,0.05,0.00458,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,2,
0,2018-08-06 12:48:29.400937,2018-08-06 12:48:32.522021,1.0,0.05,0.00271,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,4,
1,2018-08-06 12:48:29.400937,2018-08-06 12:48:32.522021,1.0,0.05,0.003,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,4,
2,2018-08-06 12:48:29.400937,2018-08-06 12:48:32.522021,1.0,0.05,0.00265,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,4,
0,2018-08-06 12:48:29.404942,2018-08-06 12:48:32.483917,1.0,0.05,0.00669,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
1,2018-08-06 12:48:29.404942,2018-08-06 12:48:32.483917,1.0,0.05,0.00691,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
2,2018-08-06 12:48:29.404942,2018-08-06 12:48:32.483917,1.0,0.05,0.0065,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
0,2018-08-06 13:01:26.323517,2018-08-06 13:01:29.436045,1.0,0.05,0.00423,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,3,
1,2018-08-06 13:01:26.323517,2018-08-06 13:01:29.436045,1.0,0.05,0.00379,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,3,
2,2018-08-06 13:01:26.323517,2018-08-06 13:01:29.436045,1.0,0.05,0.00406,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,3,
0,2018-08-06 13:01:26.326484,2018-08-06 13:01:29.432375,1.0,0.05,0.00401,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,2,
1,2018-08-06 13:01:26.326484,2018-08-06 13:01:29.432375,1.0,0.05,0.00407,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,2,
2,2018-08-06 13:01:26.326484,2018-08-06 13:01:29.432375,1.0,0.05,0.00321,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,2,
0,2018-08-06 13:01:26.325705,2018-08-06 13:01:29.422983,1.0,0.05,0.00658,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
1,2018-08-06 13:01:26.325705,2018-08-06 13:01:29.422983,1.0,0.05,0.00683,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
2,2018-08-06 13:01:26.325705,2018-08-06 13:01:29.422983,1.0,0.05,0.00674,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,6,
0,2018-08-06 13:01:26.324932,2018-08-06 13:01:29.432575,1.0,0.05,0.00319,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,4,
1,2018-08-06 13:01:26.324932,2018-08-06 13:01:29.432575,1.0,0.05,0.00302,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,4,
2,2018-08-06 13:01:26.324932,2018-08-06 13:01:29.432575,1.0,0.05,0.00318,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,4,
